g1_t,g2_t,Run,Dimension,Similaity_ratio,Happy_proportion,Coherence,g1_similarity,g2_similarity
0.9,0.1,2,2,0.9057846,1,88,0.9031789,0.90839034
0.5,0.1,3,1,0.51633453,1,37,0.51425475,0.5184143
0.9,0.1,3,2,0.9057121,1,88,0.9031299,0.9082943
0.5,0.1,4,1,0.51458883,1,30,0.51072544,0.5184523
0.9,0.1,4,2,0.9053186,1,89,0.9031522,0.90748495
0.5,0.1,5,1,0.51717913,1,31,0.51532745,0.51903075
0.9,0.1,5,2,0.9049361,1,88,0.9030465,0.90682566
0.5,0.1,6,1,0.51602507,1,34,0.515235,0.5168152
0.9,0.1,6,2,0.90576667,1,94,0.90322745,0.9083058
0.5,0.1,7,1,0.5158052,1,40,0.5133987,0.51821166
0.9,0.1,7,2,0.9054292,1,95,0.9031534,0.90770495
0.5,0.1,8,1,0.51547074,1,38,0.5130173,0.5179242
0.9,0.1,8,2,0.9046808,1,89,0.9030721,0.9062894
0.5,0.1,9,1,0.51556116,1,32,0.51168364,0.51943874
0.9,0.1,9,2,0.905473,1,92,0.90336907,0.907577
0.5,0.1,10,1,0.5145395,1,41,0.5131614,0.5159175
0.9,0.1,10,2,0.90507567,1,88,0.9029809,0.9071705
0.5,0.1,11,1,0.5160151,1,29,0.51424795,0.5177823
0.9,0.1,11,2,0.9055745,1,87,0.9032306,0.90791833
0.5,0.1,12,1,0.51577926,1,39,0.5117247,0.51983386
0.9,0.1,12,2,0.90538996,1,91,0.90311396,0.90766597
0.5,0.1,13,1,0.51635754,1,31,0.5129802,0.51973486
0.9,0.1,13,2,0.90510887,1,88,0.9033281,0.9068896
0.5,0.1,14,1,0.5150512,1,32,0.51246256,0.5176398
0.9,0.1,14,2,0.9057619,1,87,0.9030822,0.90844166
0.5,0.1,15,1,0.5144606,1,34,0.51205933,0.5168619
0.9,0.1,15,2,0.90590966,1,85,0.9031043,0.908715
0.5,0.1,16,1,0.51627743,1,28,0.514141,0.5184139
0.9,0.1,16,2,0.9056478,1,89,0.9030255,0.9082702
0.5,0.1,17,1,0.5163795,1,34,0.51497835,0.51778054
0.9,0.1,17,2,0.9065449,1,92,0.9033769,0.909713
0.5,0.1,18,1,0.5164226,1,31,0.5128789,0.5199663
0.9,0.1,18,2,0.9053842,1,88,0.90319365,0.9075747
0.5,0.1,19,1,0.515786,1,32,0.51351386,0.51805806
0.9,0.1,19,2,0.90558827,1,90,0.9032059,0.9079707
0.5,0.1,20,1,0.51503944,1,38,0.51436734,0.5157116
0.9,0.1,20,2,0.90580726,1,92,0.9033303,0.9082842
0.5,0.1,21,1,0.5182495,1,33,0.5149261,0.52157295
0.9,0.1,21,2,0.9049943,1,91,0.9033668,0.9066219
0.5,0.1,22,1,0.51691955,1,47,0.51620466,0.5176344
0.9,0.1,22,2,0.9054837,1,92,0.9030657,0.9079018
0.5,0.1,23,1,0.5166847,1,37,0.51474583,0.51862365
0.9,0.1,23,2,0.90598184,1,92,0.90344775,0.9085159
0.5,0.1,24,1,0.51556164,1,33,0.5135931,0.51753026
0.9,0.1,24,2,0.9051409,1,92,0.9030781,0.9072037
0.5,0.1,25,1,0.5178981,1,39,0.5148673,0.52092886
0.9,0.1,25,2,0.9049621,1,97,0.9030466,0.90687764
0.5,0.1,26,1,0.51505685,1,37,0.5132537,0.51686
0.9,0.1,26,2,0.9053271,1,91,0.90321124,0.907443
0.5,0.1,27,1,0.5156801,1,34,0.5130135,0.51834667
0.9,0.1,27,2,0.9057446,1,97,0.9032746,0.9082146
0.5,0.1,28,1,0.5147979,1,38,0.5120299,0.517566
0.9,0.1,28,2,0.9051879,1,90,0.90327215,0.90710366
0.5,0.1,29,1,0.5164091,1,38,0.5143595,0.5184587
0.9,0.1,29,2,0.9052056,1,104,0.9031277,0.90728354
0.5,0.1,30,1,0.51572675,1,37,0.5140872,0.5173663
0.9,0.1,30,2,0.9054588,1,91,0.90340084,0.90751684
0.5,0.1,31,1,0.5153487,1,32,0.5132567,0.5174406
0.9,0.1,31,2,0.9064394,1,91,0.9035331,0.90934575
0.5,0.1,32,1,0.5151304,1,39,0.5126036,0.5176572
0.9,0.1,32,2,0.90557826,1,87,0.9033977,0.90775883
0.5,0.1,33,1,0.51553375,1,36,0.5130709,0.51799655
0.9,0.1,33,2,0.90570974,1,93,0.90332645,0.9080931
0.5,0.1,34,1,0.5164081,1,41,0.5133612,0.5194549
0.9,0.1,34,2,0.9054963,1,90,0.9031872,0.9078054
0.5,0.1,35,1,0.5149313,1,37,0.5121043,0.5177583
0.9,0.1,35,2,0.905453,1,93,0.9028152,0.90809083
0.5,0.1,36,1,0.51443714,1,34,0.5136988,0.5151754
0.9,0.1,36,2,0.90537417,1,88,0.9033964,0.907352
0.5,0.1,37,1,0.5162116,1,38,0.5144978,0.51792544
0.9,0.1,37,2,0.90510964,1,86,0.9031053,0.907114
0.5,0.1,38,1,0.51748383,1,32,0.513832,0.5211357
0.9,0.1,38,2,0.90518034,1,91,0.9030532,0.9073074
0.5,0.1,39,1,0.51607144,1,31,0.5147587,0.5173841
0.9,0.1,39,2,0.9051651,1,91,0.9031169,0.90721333
0.5,0.1,40,1,0.51456374,1,32,0.51352054,0.515607
0.9,0.1,40,2,0.9052982,1,87,0.9032434,0.907353
0.5,0.1,41,1,0.5137907,1,29,0.513359,0.5142224
0.9,0.1,41,2,0.90542585,1,92,0.90328777,0.90756387
0.5,0.1,42,1,0.5176681,1,36,0.515842,0.51949424
0.9,0.1,42,2,0.9051467,1,91,0.90306216,0.9072313
0.5,0.1,43,1,0.51761883,1,32,0.5140818,0.52115583
0.9,0.1,43,2,0.90507185,1,91,0.9031176,0.90702605
0.5,0.1,44,1,0.51478946,1,32,0.5139639,0.515615
0.9,0.1,44,2,0.9050905,1,86,0.9031225,0.90705854
0.5,0.1,45,1,0.516264,1,35,0.5138492,0.5186789
0.9,0.1,45,2,0.9050194,1,95,0.9029771,0.90706176
0.5,0.1,46,1,0.5164921,1,33,0.5130717,0.5199125
0.9,0.1,46,2,0.9056451,1,93,0.90300965,0.9082805
0.5,0.1,47,1,0.5147418,1,37,0.5135638,0.5159197
0.9,0.1,47,2,0.9053761,1,92,0.90337586,0.9073763
0.5,0.1,48,1,0.5161144,1,36,0.51439804,0.5178307
0.9,0.1,48,2,0.90507054,1,88,0.9029623,0.9071787
0.5,0.1,49,1,0.5156547,1,33,0.5134321,0.51787734
0.9,0.1,49,2,0.9051998,1,88,0.90278107,0.90761864
0.5,0.1,50,1,0.5142444,1,42,0.51157004,0.5169188
0.9,0.1,50,2,0.9054034,1,91,0.90333706,0.9074697
0.5,0.1,51,1,0.5166573,1,37,0.5148914,0.51842326
0.9,0.1,51,2,0.90578103,1,84,0.90324706,0.90831494
0.5,0.1,52,1,0.51204145,1,31,0.510804,0.5132789
0.9,0.1,52,2,0.9053017,1,88,0.90319854,0.90740484
0.5,0.1,53,1,0.51500386,1,36,0.5121189,0.5178888
0.9,0.1,53,2,0.9053259,1,96,0.9033322,0.90731966
0.5,0.1,54,1,0.51721287,1,30,0.5144767,0.519949
0.9,0.1,54,2,0.90459,1,88,0.90288526,0.90629476
0.5,0.1,55,1,0.516,1,35,0.51448494,0.517515
0.9,0.1,55,2,0.90528834,1,97,0.9029976,0.90757906
0.5,0.1,56,1,0.5179207,1,29,0.5153367,0.52050465
0.9,0.1,56,2,0.90549856,1,92,0.90325594,0.9077411
0.5,0.1,57,1,0.51698613,1,34,0.51521546,0.51875687
0.9,0.1,57,2,0.9055908,1,91,0.9033291,0.9078525
0.5,0.1,58,1,0.51542175,1,39,0.5129625,0.517881
0.9,0.1,58,2,0.9052226,1,88,0.90311104,0.90733415
0.5,0.1,59,1,0.51651925,1,34,0.513916,0.5191225
0.9,0.1,59,2,0.904901,1,90,0.90343827,0.9063637
0.5,0.1,60,1,0.51692617,1,39,0.515698,0.5181543
0.9,0.1,60,2,0.90535676,1,91,0.9032064,0.9075071
0.5,0.1,61,1,0.51638347,1,36,0.5147192,0.5180477
0.9,0.1,61,2,0.9057121,1,91,0.9032716,0.9081527
0.5,0.1,62,1,0.5157473,1,34,0.51364195,0.5178527
0.9,0.1,62,2,0.9046584,1,87,0.903027,0.90628976
0.5,0.1,63,1,0.51402783,1,33,0.5117549,0.51630086
0.9,0.1,63,2,0.90507436,1,89,0.903038,0.9071107
0.5,0.1,64,1,0.51737344,1,33,0.5148364,0.5199105
0.9,0.1,64,2,0.905054,1,95,0.902964,0.90714395
0.5,0.1,65,1,0.51720244,1,44,0.5139969,0.5204079
0.9,0.1,65,2,0.90496814,1,90,0.90302944,0.9069069
0.5,0.1,66,1,0.5153624,1,32,0.5141381,0.5165866
0.9,0.1,66,2,0.90508515,1,88,0.903302,0.90686834
0.5,0.1,67,1,0.51564777,1,39,0.51393485,0.5173606
0.9,0.1,67,2,0.906247,1,91,0.9033579,0.90913606
0.5,0.1,68,1,0.5163049,1,27,0.51441616,0.51819366
0.9,0.1,68,2,0.90579057,1,95,0.90348345,0.9080976
0.5,0.1,69,1,0.5154076,1,35,0.51316,0.51765525
