g1_t,g2_t,Run,Dimension,Similarity,Happy_proportion,Coherence,Group1_similarity,Group2_similarity
0.9,0.5,5,1,0.9813073461997012,1,292,0.9067624250258252,0.9944623322892082
0.9,0.5,6,1,0.9813069444826685,1,284,0.906942568,0.9944300697405378
0.9,0.5,7,1,0.9812924647751554,1,300,0.9068044302232028,0.9944374120490296
0.9,0.5,8,1,0.9812672350210132,1,297,0.9065818762669031,0.9944470042129152
0.9,0.5,9,1,0.9813197077334188,1,293,0.9067990043488089,0.9944704200954086
0.9,0.5,10,1,0.9812348121885833,1,259,0.9063753543650821,0.9944453047456723
0.9,0.5,11,1,0.9812354,1,275,0.9066378382954463,0.9943996759409583
0.9,0.5,12,1,0.9812912022938542,1,276,0.906848871,0.994428084
0.9,0.5,13,1,0.981170812,1,282,0.9061290543737947,0.9944134747292922
0.9,0.5,14,1,0.9813046754887366,1,270,0.9068780614242768,0.9944387838530531
0.9,0.5,15,1,0.9813240510256418,1,295,0.9069589572018397,0.9944473028769003
0.9,0.5,16,1,0.9812805233921716,1,285,0.9067452985563275,0.9944337983632029
0.9,0.5,17,1,0.9813010403155561,1,305,0.9069470016443726,0.9944223412575288
0.9,0.5,18,1,0.981280336,1,310,0.9066299624334704,0.9944539316525145
0.9,0.5,19,1,0.9812121691849217,1,255,0.9061364295264575,0.9944608291246502
0.9,0.5,20,1,0.9811967189240832,1,298,0.9062191898075866,0.9944280475917003
0.9,0.5,21,1,0.981251388,1,323,0.9067113665672144,0.99440551
0.9,0.5,22,1,0.9812614535327447,1,305,0.9065181428352566,0.9944514495381837
0.9,0.5,23,1,0.9813171572526271,1,294,0.9069560999654049,0.9944396967739016
0.9,0.5,24,1,0.9813582700589584,1,310,0.9071591003052972,0.9944522411919581
0.9,0.5,25,1,0.9813225761273121,1,291,0.906983907,0.9944411647884718
0.9,0.5,26,1,0.9812444111874176,1,289,0.9064624241458609,0.9944412324300452
0.9,0.5,27,1,0.9813327584670362,1,333,0.9068535254855842,0.9944761525225865
0.9,0.5,28,1,0.9812810207013339,1,265,0.9067159370218011,0.9944395648800747
0.9,0.5,29,1,0.9812693812714546,1,275,0.9065179063442405,0.9944608180233164
0.9,0.5,30,1,0.9813237411432142,1,297,0.9069680104571156,0.9944453406760553
0.9,0.5,31,1,0.9813204870137903,1,315,0.9070147897917963,0.9944332571117893
