g1_t,g2_t,Run,Dimension,Similaity_ratio,Happy_proportion,Coherence,g1_similarity,g2_similarity
0.9,0.1,35.0,2.0,0.9048687,1.0,88.0,902.9997,906.7378
0.5,0.1,36.0,1.0,0.5175717,1.0,33.0,515.4706,519.67285
0.9,0.1,36.0,2.0,0.9053534,1.0,92.0,902.9662,907.7406
0.5,0.1,37.0,1.0,0.5169063,1.0,34.0,513.4136,520.39905
0.9,0.1,37.0,2.0,0.90490615,1.0,89.0,903.0259,906.7863
0.5,0.1,38.0,1.0,0.5143577,1.0,37.0,512.98883,515.7265
0.9,0.1,38.0,2.0,0.9054289,1.0,87.0,903.02783,907.8299
0.5,0.1,39.0,1.0,0.51491445,1.0,38.0,514.7882,515.04065
0.9,0.1,39.0,2.0,0.90537584,1.0,91.0,902.99097,907.7608
0.5,0.1,40.0,1.0,0.51533306,1.0,32.0,512.64374,518.02234
0.9,0.1,40.0,2.0,0.9054997,1.0,93.0,903.2657,907.7337
0.5,0.1,41.0,1.0,0.5151628,1.0,34.0,513.15027,517.17535
0.9,0.1,41.0,2.0,0.9047678,1.0,87.0,903.1835,906.3522
0.5,0.1,42.0,1.0,0.5153669,1.0,42.0,514.09906,516.63477
0.9,0.1,42.0,2.0,0.905256,1.0,90.0,903.0281,907.4838
0.5,0.1,43.0,1.0,0.51580644,1.0,32.0,515.15326,516.45966
0.9,0.1,43.0,2.0,0.90476465,1.0,90.0,903.1155,906.4138
0.5,0.1,44.0,1.0,0.51586664,1.0,36.0,513.5197,518.21356
0.9,0.1,44.0,2.0,0.9055646,1.0,88.0,903.07764,908.0516
0.5,0.1,45.0,1.0,0.51483124,1.0,33.0,512.95435,516.7082
0.9,0.1,45.0,2.0,0.90519464,1.0,89.0,903.1823,907.207
0.5,0.1,46.0,1.0,0.5163049,1.0,36.0,513.40356,519.20624
0.9,0.1,46.0,2.0,0.9055055,1.0,89.0,903.2408,907.7702
0.5,0.1,47.0,1.0,0.51626605,1.0,36.0,514.6691,517.86304
0.9,0.1,47.0,2.0,0.9055452,1.0,88.0,903.1424,907.94794
0.5,0.1,48.0,1.0,0.5139102,1.0,30.0,513.45715,514.3632
0.9,0.1,48.0,2.0,0.9059329,1.0,89.0,903.20746,908.6584
0.5,0.1,49.0,1.0,0.51683384,1.0,37.0,516.21375,517.454
0.9,0.1,49.0,2.0,0.90519106,1.0,86.0,903.15735,907.22473
0.5,0.1,50.0,1.0,0.51691127,1.0,36.0,514.9072,518.91534
0.9,0.1,50.0,2.0,0.90522295,1.0,91.0,903.0696,907.3763
0.5,0.1,51.0,1.0,0.5134972,1.0,32.0,510.80872,516.1856
0.9,0.1,51.0,2.0,0.90504813,1.0,86.0,903.26074,906.8356
0.5,0.1,52.0,1.0,0.51546484,1.0,34.0,512.7885,518.1412
0.9,0.1,52.0,2.0,0.905851,1.0,89.0,903.2289,908.4731
0.5,0.1,53.0,1.0,0.51503444,1.0,43.0,511.77676,518.29205
0.9,0.1,53.0,2.0,0.9050079,1.0,90.0,902.995,907.0208
0.5,0.1,54.0,1.0,0.51432306,1.0,35.0,512.7014,515.94476
0.9,0.1,54.0,2.0,0.9051462,1.0,90.0,903.2808,907.0116
0.5,0.1,55.0,1.0,0.5163584,1.0,32.0,512.7247,519.9921
0.9,0.1,55.0,2.0,0.9052143,1.0,88.0,902.86285,907.56573
0.5,0.1,56.0,1.0,0.5148749,1.0,39.0,511.9981,517.75165
0.9,0.1,56.0,2.0,0.9053187,1.0,93.0,903.3068,907.33057
0.5,0.1,57.0,1.0,0.51601845,1.0,39.0,513.9215,518.11536
0.9,0.1,57.0,2.0,0.90545577,1.0,88.0,903.36896,907.5426
0.5,0.1,58.0,1.0,0.51502633,1.0,36.0,513.9169,516.13574
0.9,0.1,58.0,2.0,0.905605,1.0,94.0,903.19995,908.01013
0.5,0.1,59.0,1.0,0.5193716,1.0,35.0,515.22186,523.52136
0.9,0.1,59.0,2.0,0.90470946,1.0,86.0,903.1127,906.30615
0.5,0.1,60.0,1.0,0.5161759,1.0,41.0,513.2529,519.0989
0.9,0.1,60.0,2.0,0.9051715,1.0,89.0,902.96375,907.3792
0.5,0.1,61.0,1.0,0.51467866,1.0,32.0,513.11554,516.24176
0.9,0.1,61.0,2.0,0.90532947,1.0,89.0,903.3297,907.3292
0.5,0.1,62.0,1.0,0.51517844,1.0,35.0,513.0354,517.3215
0.9,0.1,62.0,2.0,0.90537167,1.0,93.0,902.8092,907.93414
0.5,0.1,63.0,1.0,0.5148728,1.0,36.0,512.9093,516.83624
0.9,0.1,63.0,2.0,0.9050337,1.0,87.0,902.9858,907.08167
0.5,0.1,64.0,1.0,0.5163531,1.0,46.0,513.1523,519.55383
0.9,0.1,64.0,2.0,0.9054257,1.0,85.0,902.9875,907.86395
0.5,0.1,65.0,1.0,0.5166398,1.0,32.0,513.5041,519.7755
0.9,0.1,65.0,2.0,0.90542394,1.0,94.0,903.1396,907.7083
0.5,0.1,66.0,1.0,0.5148891,1.0,42.0,513.60297,516.17523
0.9,0.1,66.0,2.0,0.90562814,1.0,91.0,903.40936,907.8469
0.5,0.1,67.0,1.0,0.51593465,1.0,39.0,513.6906,518.17865
0.9,0.1,67.0,2.0,0.9052647,1.0,86.0,903.05536,907.47394
0.5,0.1,68.0,1.0,0.51769644,1.0,41.0,516.07025,519.32263
