Tolerance,Run,Dimension,Similaity_ratio,Happy_proportion,Coherence
0.25,89.0,1.0,0.49817395,1.0,1.0
0.25,90.0,1.0,0.5006483,1.0,1.0
0.25,91.0,1.0,0.4999253,1.0,1.0
0.25,92.0,1.0,0.49936244,1.0,1.0
0.25,93.0,1.0,0.49786106,1.0,1.0
0.25,94.0,1.0,0.5036331,1.0,1.0
0.25,95.0,1.0,0.49910012,1.0,1.0
0.25,96.0,1.0,0.50007474,1.0,1.0
0.25,97.0,1.0,0.49913052,1.0,1.0
0.25,98.0,1.0,0.49852508,1.0,1.0
0.25,99.0,1.0,0.500287,1.0,1.0
0.25,100.0,1.0,0.49975485,1.0,1.0
0.3,1.0,1.0,0.5007422,1.0,1.0
0.3,2.0,1.0,0.49798262,1.0,1.0
0.3,3.0,1.0,0.4985296,1.0,1.0
0.3,4.0,1.0,0.50154054,1.0,1.0
0.3,5.0,1.0,0.501376,1.0,1.0
0.3,6.0,1.0,0.49896953,1.0,1.0
0.3,7.0,1.0,0.49914172,1.0,1.0
0.3,8.0,1.0,0.49705666,1.0,1.0
0.3,9.0,1.0,0.5008926,1.0,1.0
0.3,10.0,1.0,0.49902505,1.0,1.0
0.3,11.0,1.0,0.49662858,1.0,1.0
0.3,12.0,1.0,0.49762395,1.0,1.0
0.3,13.0,1.0,0.49938995,1.0,1.0
0.3,14.0,1.0,0.49928945,1.0,1.0
0.3,15.0,1.0,0.49771446,1.0,1.0
0.3,16.0,1.0,0.50012934,1.0,1.0
0.3,17.0,1.0,0.49904794,1.0,1.0
0.3,18.0,1.0,0.50098366,1.0,1.0
0.3,19.0,1.0,0.49586144,1.0,1.0
0.3,20.0,1.0,0.5014682,1.0,1.0
0.3,21.0,1.0,0.49877197,1.0,1.0
0.3,22.0,1.0,0.4983409,1.0,1.0
0.3,23.0,1.0,0.49954742,1.0,1.0
0.3,24.0,1.0,0.4971908,1.0,1.0
0.3,25.0,1.0,0.50181043,1.0,1.0
0.3,26.0,1.0,0.49972877,1.0,1.0
0.3,27.0,1.0,0.4979604,1.0,1.0
0.3,28.0,1.0,0.4995648,1.0,1.0
0.3,29.0,1.0,0.49694216,1.0,1.0
0.3,30.0,1.0,0.50085616,1.0,1.0
0.3,31.0,1.0,0.497661,1.0,1.0
0.3,32.0,1.0,0.49742773,1.0,1.0
0.3,33.0,1.0,0.5003205,1.0,1.0
